Name,Type,lat,lon,Established
Shahjalal University of Science and Technology,Public,24.9186973,91.8330505,25-Aug-86
Sylhet Agricultural University,Public,24.9104542,91.9006123,"1995: Sylhet Government Veterinary College (SGVC)
2006: Sylhet Agricultural University"
Leading University,Private,24.86967,91.8024414,2001
Metropolitan University,Private,24.9301053,91.9708707,03-May-03
North East University Bangladesh,Private,24.8900955,91.8587668,2012
Sylhet International University,Private,24.9015134,91.8423755,2001
Sylhet M.A.G. Osmani Medical College,Medical College,24.8996517,91.8562663,1962
Jalalabad Ragib-Rabeya Medical College,Medical College,24.9133883,91.8502124,1995
North East Medical College,Medical College,24.8645429,91.854723,1998
Sylhet Women's Medical College,Medical College,24.8981875,91.8712508,2005
Park View Medical College,Medical College,24.8906661,91.8603369,2014
